ShiftDate,ActualDate,Shift,ProdCat,CycleTime,BCT,Line,Model,PlanMP,Leader,Good,Reject,GrossOutput,StartTime,StopTime,GrossAvailability,ScheduleTimeMin,ScheduledBreak,MaterialShort,DefectiveComponent,COOnline,PredictiveMaintenance,EquipmentDT,ProcessQualityDT,OtherDT,TotalDowntime,NetOperatingTime,NetOutput,IdealOperatingTime,Availability,Performance,Quality,ActualOEE,TargetOEE,ActualPPH,SORemark,ProdRemark,AVLoss,PFLoss,QLoss,
2023-12-01,12/1/2023 6:55:15 PM,Day,JTC,37.99,26.69,Line5,JTC2173.ZFB,3.0,ROSHAN,104,0,104,12/1/2023 6:55:15 PM,12/1/2023 7:57:28 PM,1.04,62.40,0.00,0.00,0.00,10.40,0.00,0.00,0.00,0.00,10.40,52.00,81.50,46.260000,0.832800,0.893100,1.000000,0.743800,0.760000,40.15,176152-0,,,,,
2023-12-01,12/1/2023 7:51:37 PM,Day,JBJ/JTE,11.80,11.80,Line8,JTE143,6.0,RIZMAN,18,0,18,12/1/2023 7:51:37 PM,12/1/2023 7:58:05 PM,0.11,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,33.55,3.540000,1.000000,0.544600,1.000000,0.544600,0.810000,27.69,176153-0,,,,,
2023-12-01,12/1/2023 9:24:08 PM,Night,JBJ/JTE,11.80,11.80,Line8,JTE143,6.0,KAMIL,1109,0,1109,12/1/2023 9:24:08 PM,12/2/2023 4:30:05 AM,7.10,426.00,64.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.90,361.10,2165.36,218.100000,0.847700,0.604000,1.000000,0.512000,0.810000,30.71,176153-1,,,,,
2023-12-01,12/2/2023 4:03:11 AM,Night,JBJ/JTE,12.87,12.87,Line3,JBJ212.ZFB,5.0,HAFIZ,946,0,946,12/2/2023 4:03:11 AM,12/2/2023 8:02:28 AM,3.99,239.40,16.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.80,222.60,1116.00,202.920000,0.929800,0.912000,1.000000,0.848000,0.810000,51.02,176194-0,,,,,
2023-12-01,12/2/2023 7:34:05 AM,Night,JBJ/JTE,14.16,14.16,Line2,JTE707,5.0,KAMIL,57,0,57,12/2/2023 7:34:05 AM,12/2/2023 7:56:35 AM,0.38,22.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.80,96.58,13.450000,1.000000,0.597900,1.000000,0.597900,0.810000,30.40,176183-0,,,,,
2023-12-01,12/1/2023 10:58:51 AM,Day,JBJ/JTE,10.63,10.63,Line1,JBJ7538,6.0,RIZMAN,2001,0,2001,12/1/2023 10:58:51 AM,12/1/2023 6:54:22 PM,7.92,475.20,63.70,17.80,0.00,0.00,0.00,0.00,0.00,0.00,81.50,393.70,2583.37,354.510000,0.828600,0.899800,1.000000,0.745600,0.810000,50.79,176250-0,,,,,
2023-12-01,12/1/2023 6:12:08 PM,Day,JBJ/JTE,9.12,8.12,Line7,JBJ7662,5.0,SULIHAR,201,0,201,12/1/2023 6:12:08 PM,12/1/2023 7:05:28 PM,0.89,53.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.40,351.24,27.200000,1.000000,0.510400,1.000000,0.510400,0.810000,45.25,176252-0,,,,,
2023-12-01,12/1/2023 8:03:27 PM,Night,JTC,28.49,20.02,Line5,JTC2173.ZFB,4.0,KAMIL,560,0,560,12/1/2023 8:03:27 PM,12/1/2023 11:56:07 PM,3.88,232.80,16.70,0.00,0.00,0.00,0.00,0.00,0.00,0.30,17.00,215.80,489.01,186.850000,0.926900,0.866300,1.000000,0.803000,0.760000,38.94,176274-0,,,,,
2023-12-01,12/1/2023 10:17:13 AM,Day,JTC,34.62,34.62,Line5,JTC968,4.0,ROSHAN,160,0,160,12/1/2023 10:17:13 AM,12/1/2023 11:41:10 AM,1.40,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,145.60,92.320000,1.000000,1.099000,1.000000,1.000000,0.760000,28.57,176241-0,,,,,
2023-12-01,12/1/2023 8:13:07 AM,Day,JTC,30.22,26.06,Line6,JTC1163,4.0,ROSHAN,298,0,298,12/1/2023 8:13:07 AM,12/1/2023 11:22:21 AM,3.15,189.00,14.20,0.00,0.00,0.00,0.90,0.00,0.00,4.40,19.50,169.50,364.51,129.430000,0.896900,0.762700,1.000000,0.684100,0.760000,26.34,176242-0,,,,,
